SMILES,logP,tPSA,MW,SweetSpot
CN1C2=CC(=NC=C2N=C1NCCC3=C(C=CC(=C3)OC)OC)C4=CC5=C(C=C4)OCO5,4.035800000000003,79.66000000000001,432.48000000000025,No
COC1=CC=C(C=C1)S(=O)(=O)NCC2CCCN(C2)C(=O)CSC3=CC=CC=C3,3.0044000000000013,75.71000000000001,434.58300000000014,No
C1=CC=C(C=C1)CCCNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,2.7537800000000017,93.35,322.36400000000003,No
C1CC(CN(C1)C(=O)COC2=CC=CC=C2)CNS(=O)(=O)C3=CC=CS3,2.3440000000000003,75.71000000000001,394.5180000000001,No
CN=C1N=C(N(S1)C2=CC=CC=C2)C3=CC=CC=C3,3.1313000000000013,30.18,267.357,No
CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N,3.4176000000000037,177.58,508.8040000000004,No
CCOC(=O)CCC(=O)N1CCN(CC1C)C(=O)C2=CC3=C(N2CC(=C)C)OC=C3,2.826600000000001,84.99000000000002,415.4900000000002,No
CN1C2=CC(=NC=C2N=C1NCCC3=C(C=CC(=C3)OC)OC)C4=CC(=C(C(=C4)OC)OC)OC,4.332900000000003,88.89000000000001,478.5490000000003,No
COC1=CC=C(C=C1)C(=O)N(CC2=CC=CC=C2)C3CCC(CC3)NC(=O)C4CCN(CC4)C(=O)C5=CC=CC=C5Cl,5.970800000000006,78.95,588.1480000000005,No
CN1C2=CC(=NC=C2N=C1NCCC3=C(C=CC(=C3)OC)OC)C4=CC=C(C=C4)Cl,4.960500000000004,61.2,422.91600000000017,No
CN1C2=CC(=NC=C2N=C1NCCC3=C(C=CC(=C3)OC)OC)C4=CC=CC5=CC=CC=C54,5.460300000000005,61.2,438.5310000000002,No
CC1=NN(C(=C1/C=C\2/CCCC3=C(C4=CC=CC=C4N=C23)C(=O)O)Cl)C,4.505220000000004,68.01,367.83600000000007,No
CS(=O)(=O)C1=CC=C(C=C1)C2=CC=CC3=C2OC(C3)CNC(=O)C4=CC=[N+](C=C4)[O-],2.1239999999999997,99.41,424.4780000000002,No
CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3,3.6590000000000016,80.05000000000001,380.53900000000016,No
C1=CC(=CC(=C1)[N+](=O)[O-])/C=C\2/C(=O)NC(=NC3=NC=CS3)S2,2.9429000000000007,97.49,332.366,No
CCC(CO)[N+]1=C(C=C(C=C1C)C=C2N(C3=CC=CC=C3S2)CC4=CC=CC=C4)C,5.645240000000006,27.35,417.5980000000001,No
C1=CSC(=N1)N2C=C(C=C(C2=O)C#N)C(=O)C3=C(C(=CC(=C3)Cl)Cl)O,3.4090800000000008,95.98,392.223,No
CCC1=NC(=NC2=C1C=CC(=C2)C)N=C(N)N,1.4055199999999997,90.17999999999999,229.28699999999998,No
CC1C(=O)C2=CC=CC3=C2C(=C(N(C3=O)C4=CC=CC=C4)O)C1=O,2.7114000000000007,76.37,319.31600000000003,No
CCOC1=C(C(=CC(=C1)/C=C/2\C(=O)C3=C(O2)C=C(C=C3)O)Cl)OCC(=O)N(C)C,3.5275000000000025,85.3,417.84500000000014,No
CC1=C2C=CC(=CC2=NC(=N1)N=C(N)N)OC,0.8517199999999996,99.41,231.259,No
COC1=C(C=CC(=C1)/C=C(/C#N)\C2=NC3=C(S2)C=CC(=C3)Cl)O,4.728080000000003,66.14,342.80699999999996,No
C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,8.06550000000001,126.44000000000003,929.1609999999998,No
CCN1CCN(CC1)C(=O)C2=CC=C(O2)CN3C=CSC3=NC(=O)C4=CC(=C(C=C4)OC)OC,2.7269000000000014,89.51,484.57800000000026,No
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,3.3366,177.58,505.4580000000001,No
CN1C2=CC=CC=C2N=C1/C(=C/C3=CC=C(O3)N4CCOCC4)/C#N,3.0670800000000007,67.22,334.37900000000013,No
CN(CC1=CC=CC=C1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,4.476260000000004,50.82,315.42000000000013,No
CCCCCN=C(N)NN=CC1=CNC2=C1C=C(C=C2)OC,2.6049000000000007,87.79,301.39400000000006,No
