SMILES,logP,tPSA,MW,SweetSpot
CC1(CCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3Cl)C(=O)NCC4CC4)C,402.12,5.02,58.20,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3C(F)(F)F)C(=O)N4CCC(CC4)(F)F,474.10,4.96,58.64,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3C(F)(F)F)C(=O)N4CC(C4)(F)F,446.07,4.18,58.64,No
C1CCN(CC1)C(=O)C2=C(SC3=C2CCOC3)NC(=O)C4=CC=CC=C4C(F)(F)F,438.12,4.72,58.64,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3OC(F)(F)F)C(=O)N4CCC(CC4)(F)F,490.10,4.84,67.87,No
C1COCC2=C1C(=C(S2)NC(=O)C3=C(C=CC=C3F)C(F)(F)F)C(=O)N4CCC(CC4)(F)F,492.09,5.10,58.64,No
CC(C)(C)CC(=O)NC1=C(C2=C(S1)CCCC2)C(=O)N3CCC(CC3)(F)F,398.18,4.87,49.41,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3OC(F)(F)F)C(=O)N4CC(C4)(F)F,462.07,4.06,67.87,No
CC(C)(C)CC(=O)NC1=C(C2=C(S1)CCCC2)C(=O)N3CC(C3)(F)F,370.15,4.09,49.41,No
CC1(CCC2=C1C(=C(S2)NC(=O)CC(C)(C)C)C(=O)NCCOC)C,366.20,3.72,67.43,No
CC1C2=C(CO1)SC(=C2C(=O)N3CC(C3)(F)F)NC(=O)CC(C)(C)C,372.13,3.81,58.64,No
CC1(CCC2=C1C(=C(S2)NC(=O)CC(C)(C)C)C(=O)NCC3CC3)C,362.20,4.49,58.20,No
C1COCC2=C1C(=C(S2)NC(=O)C3=C(C=CC=C3F)C(F)(F)F)C(=O)N4CC(C4)(F)F,464.06,4.32,58.64,No
C1CCN(CC1)C(=O)C2=C(SC3=C2CCOC3)NC(=O)C4=CC=CC=C4OC(F)(F)F,454.12,4.60,67.87,No
C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC=C3Cl)C(=O)N4CCOCC4,404.10,4.01,58.64,No
C1CC1CNC(=O)C2=C(SC3=C2CCOC3)NC(=O)C4=C(C=CC=C4F)C(F)(F)F,442.10,4.37,67.43,No
C1CCN(CC1)C(=O)C2=C(SC3=C2CCOC3)NC(=O)C4=C(C=CC=C4F)C(F)(F)F,456.11,4.86,58.64,No
COC1CN(C1)C(=O)C2=C(SC3=C2CCOC3)NC(=O)C4=CC=CC=C4C(F)(F)F,440.10,3.56,67.87,No
COCCNC(=O)C1=C(SC2=C1CCOC2)NC(=O)C3=CC=CC=C3C(F)(F)F,428.10,3.47,76.66,No
C1CC(CC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3OC(F)(F)F)C(=O)N4CC(C4)(F)F)(F)F,496.07,5.11,58.64,No
CC(C)(C)CC(=O)NC1=C(C2=C(S1)CCCC2)C(=O)NCCOC,352.18,3.38,67.43,No
COCCNC(=O)C1=C(SC2=C1CCOC2)NC(=O)C3=C(C=CC=C3F)C(F)(F)F,446.09,3.61,76.66,No
COC1CN(C1)C(=O)C2=C(SC3=C2CCOC3)NC(=O)C4=C(C=CC=C4F)C(F)(F)F,458.09,3.70,67.87,No
C1CCN(CC1)CC(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N4CCC(CC4)(F)F,425.19,3.92,52.65,No
CC(C)C1=CC=CC=C1C(=O)NC2=C(C3=C(S2)COCC3)C(=O)N4CCOCC4,414.16,3.67,67.87,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3C(F)(F)F)C(=O)N4CCOCC4,440.10,3.56,67.87,No
C1CC1CNC(=O)C2=C(SC3=C2CCOC3)NC(=O)C4=CC=CC=C4OC(F)(F)F,440.10,4.11,76.66,No
COC1CN(C1)C(=O)C2=C(SC3=C2CCOC3)NC(=O)C4=CC=CC=C4OC(F)(F)F,456.10,3.44,77.10,No
CC1C2=C(CO1)SC(=C2C(=O)N3CCCCC3)NC(=O)CC(C)(C)C,364.18,4.34,58.64,No
CC(C)(COC)NC(=O)C1=C(SC2=C1CCOC2)NC(=O)C3=CC=CC=C3C(F)(F)F,456.13,4.25,76.66,No
COCCNC(=O)C1=C(SC2=C1CCC(C2)(F)F)NC(=O)C3=CC=CC=C3Cl,428.08,4.15,67.43,No
CC(C)(C)CC(=O)NC1=C(C2=C(S1)CCCC2)C(=O)N3CC(C3)OC,364.18,3.47,58.64,No
C1CC(CC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3Cl)C(=O)N4CC(C4)(F)F)(F)F,446.05,4.87,49.41,No
C1CCN(CC1)CC(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N4CC(C4)(F)F,397.16,3.14,52.65,No
COCCNC(=O)C1=C(SC2=C1CCC(C2)(F)F)NC(=O)C3=CC=CC=C3OC(F)(F)F,478.10,4.40,76.66,No
COCCNC(=O)C1=C(SC2=C1CCCC2)NC(=O)C3CCCC3,350.17,3.13,67.43,No
CC(C)(COC)NC(=O)C1=C(SC2=C1CCOC2)NC(=O)C3=C(C=CC=C3F)C(F)(F)F,474.12,4.39,76.66,No
C1COCC2=C1C(=C(S2)NC(=O)C3=C(C=CC=C3F)C(F)(F)F)C(=O)N4CCOCC4,458.09,3.70,67.87,No
COCCNC(=O)C1=C(SC2=C1CCOC2)NC(=O)C3=CC=CC=C3OC(F)(F)F,444.10,3.35,85.89,No
CC(C)(COC)NC(=O)C1=C(SC2=C1CCOC2)NC(=O)C3=CC=CC=C3OC(F)(F)F,472.13,4.13,85.89,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3OC(F)(F)F)C(=O)N4CCOCC4,456.10,3.44,77.10,No
C1CC2=C(C1)SC(=C2C(=O)NCC3CC3)NC(=O)C4=CC=CC=C4Cl,374.09,4.28,58.20,No
CC1(CCC2=C1C(=C(S2)NC(=O)CC(C)(C)C)C(=O)N3CCC(CC3)(F)F)C,412.20,5.22,49.41,No
COCCNC(=O)C1=C(SC2=C1CCC2)NC(=O)C3=CC=CC=C3Cl,378.08,3.52,67.43,No
COCCNC(=O)C1=C(SC2=C1CCCC2)NC(=O)CN3CCCCC3,379.19,2.43,70.67,No
COCCNC(=O)C1=C(SC2=C1CCCC2)NC(=O)C3CCC3,336.15,2.74,67.43,No
C1CCC2=C(C1)C(=C(S2)NC(=O)CN3CCCC3)C(=O)N4CCC(CC4)(F)F,411.18,3.53,52.65,No
COC1CN(C1)C(=O)C2=C(SC3=C2CCCC3)NC(=O)CN4CCCCC4,391.19,2.52,61.88,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3Cl)C(=O)N4CCOCC4,406.08,3.20,67.87,No
COCCNC(=O)C1=C(SC2=C1CCOC2)NC(=O)C3CCCC3,352.15,2.33,76.66,No
COCCNC(=O)C1=C(SC2=C1CCCC2)NC(=O)C3CCCN3C(=O)C4CC4,419.19,2.34,87.74,No
C1CCC2=C(C1)C(=C(S2)NC(=O)CN3CCCC3)C(=O)N4CC(C4)(F)F,383.15,2.75,52.65,True
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3OC(F)F)C(=O)N4CCOCC4,438.11,3.15,77.10,No
CC(C)(C)CC(=O)NC1=C(C2=C(S1)COCC2)C(=O)NCCOC,354.16,2.57,76.66,No
CC1=CC=CC=C1C(=O)NC2=C(C3=C(S2)COCC3)C(=O)N4CCOCC4,386.13,2.85,67.87,No
C1COCC2=C1C(=C(S2)NC(=O)C3=C(C=CC=C3Cl)Cl)C(=O)N4CCOCC4,440.04,3.85,67.87,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC(=CC=C3)OC(F)(F)F)C(=O)N4CCOCC4,456.10,3.44,77.10,No
CC(C)(C)C(=O)C1=C(SC2=C1CCOC2)NC(=O)C3=CC=CC=C3C(F)(F)F,411.11,5.32,55.40,No
CC(C)(C)C(=O)C1=C(SC2=C1CCOC2)NC(=O)C3=CC=CC=C3OC(F)(F)F,427.11,5.20,64.63,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC(=CC=C3)Cl)C(=O)N4CCOCC4,406.08,3.20,67.87,No
C1COCC2=C1C(=C(S2)NC(=O)C3=CC=CC=C3C4=CC=CC=C4)C(=O)N5CCOCC5,448.15,4.21,67.87,No
C1COCC2=C1C(=C(S2)NC(=O)C3=C(C=C(C=C3)Cl)Cl)C(=O)N4CCOCC4,440.04,3.85,67.87,No
